name,mascot,school_ncaa,conf_name,venue_state,color
Lions,Lion,Southeastern La.,Southland,LA,#f3b800
Monarchs,Lion,Old Dominion,Conference USA,VA,#003564
Golden Lions,Lion,Ark.-Pine Bluff,Southwestern Athletic,AR,#f29103
Pride,Lion,Hofstra,Colonial,NY,#f6ba37
Lions,Lion,Loyola Marymount,West Coast,CA,#2e3d65
Nittany Lions,Lion,Penn St.,Big Ten,PA,#002147
Lions,Lion,Columbia,Ivy,NY,#015289
Ramblers,Wolf,Loyola Chicago,Missouri Valley,IL,#eb9f00
Lobos,Wolf,New Mexico,Mountain West,NM,#be0f34
Red Wolves,Wolf,Arkansas St.,Sun Belt,AR,#BE0F34
Raiders,Wolf,Wright St.,Horizon,OH,#efad00
Bonnies,Wolf,St. Bonaventure,Atlantic 10,NY,#7b2d19
Seawolves,Wolf,Stony Brook,America East,NY,#990000
Wolfpack,Wolf,NC State,Atlantic Coast,NC,#cc092f
Wolf Pack,Wolf,Nevada,Mountain West,NV,#003366
Tigers,Tigers,Princeton,Ivy,NJ,#e87132
Tigers,Tigers,Jackson St.,Southwestern Athletic,MS,#002654
Tigers,Tigers,Tennessee St.,Ohio Valley,TN,#003183
Tigers,Tigers,Missouri,Southeastern,MO,#F1B82D
Tigers,Tigers,Clemson,Atlantic Coast,SC,#F66733
Tigers,Tigers,Auburn,Southeastern,AL,#f58025
Tigers,Tigers,Texas Southern,Southwestern Athletic,TX,#70283e
Tigers,Tigers,Savannah St.,Mid Eastern Athletic,GA,#f65800
Tigers,Tigers,LSU,Southeastern,LA,#461d7c
Tigers,Tigers,Towson,Colonial,MD,#d7aa01
Tigers,Tigers,Memphis,American Athletic,TN,#002878
Tigers,Tigers,Pacific,West Coast,CA,#ff6900
Tigers,Tigers,Grambling,Southwestern Athletic,LA,#be9a02
Badgers,Badger,Wisconsin,Big Ten,WI,#be0f34
Bobcats,Bobcat,Montana St.,Big Sky,MT,#0077bc
Bobcats,Bobcat,Quinnipiac,Metro Atlantic Athletic,CT,#aa8406
Bobcats,Bobcat,Texas St.,Sun Belt,TX,#5a2c34
Bobcats,Bobcat,Ohio,Mid-American,OH,#336633
Cougars,Cougar,SIUE,Ohio Valley,IL,#f94227
Catamounts,Cougar,Western Caro.,Southern,NC,#d5a977
Cougars,Cougar,Col. of Charleston,Colonial,SC,#772932
Cougars,Cougar,Washington St.,Pacific 12,WA,#981e32
Cougars,Cougar,Houston,American Athletic,TX,#CC0000
Catamounts,Catamount,Vermont,America East,VT,#005030
Cougars,Cougar,Chicago St.,Western Athletic,IL,#004423
Cougars,Cougar,BYU,West Coast,UT,#002255
Coyotes,Coyote,South Dakota,Summit League,SD,#ff2310
Jaguars,Jaguar,South Ala.,Sun Belt,AL,#eb1e00
Jaguars,Jaguar,Southern U.,Southwestern Athletic,LA,#5fb2e3
Jaguars,Jaguar,IUPUI,Horizon,IN,#dab36b
Bearkats,Bearkat,Sam Houston St.,Southland,TX,#f88834
Bearcats,Bearcat,Binghamton,America East,NY,#006a4e
Bearcats,Bearcat,Cincinnati,American Athletic,KY,#141414
Leopards,Leopard,Lafayette,Patriot League,PA,#98002e
Panthers,Panther,Georgia St.,Sun Belt,GA,#005dab
Panthers,Panther,Eastern Ill.,Ohio Valley,IL,#0084be
Panthers,Panther,Milwaukee,Horizon,WI,#000000
Golden Panthers,Panther,FIU,Conference USA,FL,#c79d1f
Panthers,Panther,UNI,Missouri Valley,IA,#473282
Panthers,Panther,High Point,Big South,NC,#243a94
Panthers,Panther,Pittsburgh,Atlantic Coast,PA,#002144
Panthers,Panther,Prairie View,Southwestern Athletic,TX,#803e99
Red Foxes,Red Fox,Marist,Metro Atlantic Athletic,NY,#d4362a
Wildcats,Wildcat,Kentucky,Southeastern,KY,#005DAA
Wildcats,Wildcat,Davidson,Atlantic 10,NC,#e51937
Wildcats,Wildcat,Arizona,Pacific 12,AZ,#003366
Wildcats,Wildcat,Northwestern,Big Ten,IL,#512698
Wildcats,Wildcat,Villanova,Big East,PA,#003366
Wildcats,Wildcat,New Hampshire,America East,NH,#002162
Wildcats,Wildcat,Abilene Christian,Southland,TX,#68278e
Wildcats,Wildcat,Kansas St.,Big 12,KS,#502d7f
Wildcats,Wildcat,Weber St.,Big Sky,UT,#492365
Wildcats,Wildcat,Bethune-Cookman,Mid Eastern Athletic,FL,#f5ba00
Wolverines,Wolverine,Utah Valley,Western Athletic,UT,#00460f
Bears,Black Bear,Mercer,Southern,GA,#ec751f
Rebels,Black bear,Ole Miss,Southeastern,MS,#002663
Black Bears,Black Bear,Maine,America East,ME,#6696be
Bears,Black Bear,Central Ark.,Southland,AR,#53327d
Bruins,Brown Bear,Belmont,Ohio Valley,TN,#00205c
Bruins,Brown Bear,UCLA,Pacific 12,CA,#0072cf
Big Red,Brown Bear,Cornell,Ivy,NY,#CC3333
Bears,Brown Bear,Morgan St.,Mid Eastern Athletic,MD,#fc5a14
Mean Green,Grizzly Bear,North Texas,Conference USA,TX,#00622e
Bears,Brown Bear,Missouri St.,Missouri Valley,MO,#491317
Bears,Brown Bear,Brown,Ivy,RI,#996633
Bears,Brown Bear,Northern Colo.,Big Sky,CO,#ffb500
Bears,Brown Bear,Baylor,Big 12,TX,#083a27
Mocs,Brown Bear,Chattanooga,Southern,TN,#00386b
Grizzlies,Grizzly Bear,Montana,Big Sky,MT,#8b2346
Golden Grizzlies,Golden Bear,Oakland,Horizon,MI,#9f8346
Golden Bears,Golden Bear,California,Pacific 12,CA,#00325b
Bengals,Bengal Tiger,Idaho St.,Big Sky,ID,#ff7800
Bulldogs,Bulldog,Alabama A&M,Southwestern Athletic,AL,#a41e4c
Bulldogs,Bulldog,Louisiana Tech,Conference USA,LA,#002f8b
Saints,St. Bernard,Siena,Metro Atlantic Athletic,NY,#04523c
Bulldogs,Bulldog,South Carolina St.,Mid Eastern Athletic,SC,#951123
Terriers,Terriers,St. Francis Brooklyn,Northeast,NY,#0060a9
Huskies,Husky,Northern Ill.,Mid-American,IL,#b42836
Runnin' Bulldogs,Bulldog,Gardner-Webb,Big South,NC,#c41230
Bulldogs,Bulldog,Drake,Missouri Valley,IA,#002181
Terrapins,Boston Terrier,Maryland,Big Ten,MD,#e31836
Bulldogs,Bulldog,UNC Asheville,Big South,NC,#003C77
Retrievers,Retriever,UMBC,America East,MD,#bc9300
Bulldogs,Bulldog,Samford,Southern,AL,#003362
Bulldogs,Bulldog,Yale,Ivy,CT,#00346a
Terriers,Terriers,Wofford,Southern,SC,#886E4C
Greyhounds,Greyhound,Loyola Maryland,Patriot League,MD,#a5a6a8
Salukis,Saluki,Southern Ill.,Missouri Valley,IL,#872e3f
Bulldogs,Bulldog,Bryant,Northeast,RI,#a49372
Great Danes,Great Dane,Albany (NY),America East,NY,#1b2777
Huskies,Husky,UConn,American Athletic,CT,#002a5c
Terriers,Terriers,Boston U.,Patriot League,MA,#d90400
Bulldogs,Bulldog,Georgia,Southeastern,GA,#CC0000
Bulldogs,Bulldog,Mississippi St.,Southeastern,MS,#660000
Huskies,Husky,Washington,Pacific 12,WA,#39275B
Aggies,Bulldog,N.C. A&T,Mid Eastern Athletic,NC,#ffb82b
Bulldogs,Bulldog,Gonzaga,West Coast,WA,#003366
Hoyas,Bulldog,Georgetown,Big East,DC,#00275d
Bulldogs,Bulldog,Fresno St.,Mountain West,CA,#d6083b
Bulldogs,Bulldog,The Citadel,Southern,SC,#132e5e
Bulldogs,Bulldog,Butler,Big East,IN,#00467f
Huskies,Husky,Houston Baptist,Southland,TX,#023795
Huskies,Husky,Northeastern,Colonial,MA,#000000
Dukes,Bulldog,James Madison,Colonial,VA,#484191
Volunteers,Coonhound,Tennessee,Southeastern,TN,#f77f00
Leathernecks,Bulldog,Western Ill.,Summit League,IL,#663399
Hoosiers,None,Indiana,Big Ten,IN,#9e1b32
Shockers,Wheat,Wichita St.,American Athletic,KS,#141414
Rattlers,Diamondback Rattlesnake,Florida A&M,Mid Eastern Athletic,FL,#006b25
Ragin' Cajuns,Cayenne Pepper,Louisiana,Sun Belt,LA,#cf202f
Gators,Alligator,Florida,Southeastern,FL,#003488
Jackrabbits,Rabbit,South Dakota St.,Summit League,SD,#0039a6
Orange,Orange,Syracuse,Atlantic Coast,NY,#ff5113
